Timestamp,CPU_Power_W_Actual,CPU_Temp_C,CPU_Fan_RPM,Ambient_Temp_C,Set_PPT_W,Mprime_Threads,Thermal_Resistance_Recalculated,Thermal_Resistance_Calculated
2025-06-03 13:12:00.283,21.957,49.95,634,22.8,22,6,1.23650771963383,1.23650771963383
2025-06-03 13:07:20.798,18.001,45.08,635,22.8,18,6,1.2377090161657684,1.2377090161657684
2025-06-03 13:05:34.675,16.0,43.23,635,22.8,16,6,1.2768749999999998,1.2768749999999998
2025-06-03 13:05:33.413,15.997,43.17,635,22.8,16,6,1.2733637557041946,1.2733637557041946
2025-06-03 13:04:21.816,14.998,42.13,635,22.8,15,6,1.2888385118015735,1.2888385118015735
2025-06-03 13:05:32.157,15.998,43.17,635,22.8,16,6,1.273284160520065,1.273284160520065
2025-06-03 13:04:20.469,15.0,42.0,635,22.8,15,6,1.28,1.28
2025-06-03 13:04:34.886,14.999,42.33,635,22.8,15,6,1.3020868057870525,1.3020868057870525
2025-06-03 13:05:35.936,16.001,43.26,635,22.8,16,6,1.2786700831198048,1.2786700831198048
2025-06-03 13:04:33.583,14.997,42.25,635,22.8,15,6,1.296926051877042,1.296926051877042
2025-06-03 13:07:22.072,17.999,44.98,635,22.8,18,6,1.232290682815712,1.232290682815712
2025-06-03 13:04:19.177,15.0,42.18,638,22.8,15,6,1.292,1.292
2025-06-03 13:05:27.064,16.0,43.17,638,22.8,16,6,1.273125,1.273125
2025-06-03 13:05:28.342,15.999,43.24,638,22.8,16,6,1.2775798487405463,1.2775798487405463
2025-06-03 13:04:17.878,14.998,42.13,638,22.8,15,6,1.2888385118015735,1.2888385118015735
2025-06-03 13:06:21.443,17.0,43.97,641,22.8,17,6,1.2452941176470589,1.2452941176470589
2025-06-03 13:06:22.711,17.0,43.91,641,22.8,17,6,1.2417647058823529,1.2417647058823529
2025-06-03 13:04:30.975,15.0,42.2,641,22.8,15,6,1.2933333333333334,1.2933333333333334
2025-06-03 13:04:32.275,15.0,42.18,641,22.8,15,6,1.292,1.292
2025-06-03 13:05:44.940,15.996,43.15,641,22.8,16,6,1.2721930482620654,1.2721930482620654
2025-06-03 13:05:24.439,16.001,43.21,642,22.8,16,6,1.275545278420099,1.275545278420099
2025-06-03 13:05:25.758,15.996,43.15,642,22.8,16,6,1.2721930482620654,1.2721930482620654
2025-06-03 13:06:25.221,17.001,44.0,643,22.8,17,6,1.246985471442856,1.246985471442856
2025-06-03 13:05:30.886,16.0,43.23,643,22.8,16,6,1.2768749999999998,1.2768749999999998
2025-06-03 13:05:29.615,15.998,43.26,643,22.8,16,6,1.2789098637329666,1.2789098637329666
2025-06-03 13:06:23.964,17.001,43.96,643,22.8,17,6,1.244632668666549,1.244632668666549
2025-06-03 13:04:25.716,15.0,42.15,645,22.8,15,6,1.2899999999999998,1.2899999999999998
2025-06-03 13:07:23.356,18.0,44.77,645,22.8,18,6,1.2205555555555556,1.2205555555555556
2025-06-03 13:07:24.618,18.002,44.72,645,22.8,18,6,1.2176424841684257,1.2176424841684257
2025-06-03 13:04:23.120,15.002,42.13,645,22.8,15,6,1.28849486735102,1.28849486735102
2025-06-03 13:04:27.062,15.001,42.08,645,22.8,15,6,1.285247650156656,1.285247650156656
2025-06-03 13:04:24.418,14.999,42.12,645,22.8,15,6,1.2880858723914923,1.2880858723914923
2025-06-03 13:05:23.166,16.004,43.17,646,22.8,16,6,1.2728067983004248,1.2728067983004248
2025-06-03 13:06:20.178,17.0,43.97,646,22.8,17,6,1.2452941176470589,1.2452941176470589
2025-06-03 13:06:18.905,17.0,43.89,646,22.8,17,6,1.2405882352941175,1.2405882352941175
2025-06-03 13:05:21.890,16.001,43.14,646,22.8,16,6,1.27117055184051,1.27117055184051
2025-06-03 13:04:15.274,15.0,42.02,648,22.8,15,6,1.2813333333333334,1.2813333333333334
2025-06-03 13:04:28.383,15.001,42.11,648,22.8,15,6,1.287247516832211,1.287247516832211
2025-06-03 13:04:16.584,15.002,42.06,648,22.8,15,6,1.2838288228236236,1.2838288228236236
2025-06-03 13:04:29.692,15.0,42.21,648,22.8,15,6,1.294,1.294
2025-06-03 13:05:20.631,16.005,43.15,652,22.8,16,6,1.2714776632302405,1.2714776632302405
2025-06-03 13:05:19.381,16.002,43.07,652,22.8,16,6,1.2667166604174478,1.2667166604174478
2025-06-03 13:07:25.886,17.998,44.84,654,22.8,18,6,1.2245805089454385,1.2245805089454385
2025-06-03 13:06:26.486,17.0,43.94,654,22.8,17,6,1.2435294117647058,1.2435294117647058
2025-06-03 13:06:27.754,17.0,44.06,654,22.8,17,6,1.2505882352941178,1.2505882352941178
2025-06-03 13:07:27.164,18.0,44.85,654,22.8,18,6,1.225,1.225
2025-06-03 13:07:49.858,18.001,44.93,655,22.8,18,6,1.2293761457696792,1.2293761457696792
2025-06-03 13:07:48.587,17.999,44.91,655,22.8,18,6,1.228401577865437,1.228401577865437
2025-06-03 13:06:31.587,17.0,44.08,657,22.8,17,6,1.251764705882353,1.251764705882353
2025-06-03 13:06:32.871,17.0,44.0,657,22.8,17,6,1.2470588235294118,1.2470588235294118
2025-06-03 13:07:41.034,17.998,44.99,658,22.8,18,6,1.2329147683075898,1.2329147683075898
2025-06-03 13:07:42.303,18.001,44.75,658,22.8,18,6,1.2193767012943724,1.2193767012943724
